station,component,PGA,PGV,CAV,AI,Ds575,Ds595,MMI,pSA_0.02,pSA_0.05,pSA_0.1,pSA_0.2,pSA_0.3,pSA_0.4,pSA_0.5,pSA_0.75,pSA_1.0,pSA_2.0,pSA_3.0,pSA_4.0,pSA_5.0,pSA_7.5,pSA_10.0
058A,geom,0.03239879757165909,13.400859832763672,0.24956756192342192,3.305422158896088,9.501969320295537,17.006946729796393,6.451142311096191,0.03248056855417393,0.033206555359666066,0.03830737942373452,0.07228611645428894,0.0918025548603296,0.06135656204991316,0.08658447265394444,0.0905761623018284,0.0663567860545231,0.04998294439477374,0.02603698628736064,0.02961471004895192,0.032644407686896616,0.027448485994295946,0.016085167248497102
061A,geom,0.3585214912891388,55.3193473815918,1.2991596459907784,159.43471686446665,8.509535637326072,14.837662894076304,8.371337890625,0.36273800648839466,0.42021721815753016,0.693692941727559,0.5991964513364888,0.6394355407124732,0.5907224855052617,0.67048927251005,0.7385728643534359,0.43518174990979225,0.2004718804284807,0.11678247675114561,0.07142560835658492,0.07311137352586031,0.0532824802468128,0.03294069238830723
062A,geom,0.6951258182525635,99.47367095947266,2.7918112312879195,724.2500618451678,8.170419023268357,14.90565295677607,9.20270824432373,0.7090858551045802,0.9405556846820963,1.1463226047480382,1.5297712529966756,1.3620017266024116,1.3997379748103587,1.5569039688654043,0.949206491016546,0.5580724527360506,0.42539720821378274,0.25817541678768996,0.12111224681873727,0.09671389698120897,0.05037076363387404,0.03372852454201025
063A,geom,0.06184909865260124,10.076592445373535,0.8254294187945092,21.655061788745837,30.445999056718577,60.73347046817563,6.059480667114258,0.06215955506990512,0.07019767755146887,0.10637052462706002,0.14655215378303316,0.17506664002760838,0.1742775601874873,0.19083885362597036,0.1813614168957851,0.11119738936932735,0.062498571688863934,0.030119244212079194,0.015476377584366737,0.010545073956932698,0.010001840396347867,0.006045955492043061
064A,geom,0.23721164464950562,31.062274932861328,2.0686528011160554,183.37177289320917,25.258556401334868,35.064643803064044,7.601829528808594,0.23826870417791396,0.269759388601148,0.3605364247451778,0.5276039921555187,0.5317795773980825,0.6221165595870046,0.5559677537946055,0.49211146138506956,0.4319692814679641,0.14989881084336174,0.09528553144582469,0.03747390148871122,0.023007989424711127,0.013192062768636641,0.008490560000372916
065A,geom,0.07774180918931961,11.609452247619629,0.929010574763414,25.402435277047797,29.75833640196382,70.90507933323165,6.252432823181152,0.07892491932409548,0.08586398017924209,0.13976966785139255,0.15425607450644874,0.18734275549005894,0.17357594745890395,0.1982259548078053,0.1462096603224438,0.11365595370205066,0.059263071265483726,0.039763702787630216,0.014987117757431783,0.012412172120384958,0.012041573728821187,0.006517370743534306
066A,geom,0.47193872928619385,76.84654235839844,2.8024491045372146,440.7826416006239,11.399077558788484,28.992755343760457,8.84839916229248,0.4807767266570712,0.676444426284921,0.7471553656941513,1.040643823047816,0.8691495758710439,0.9681610399097678,0.9934799350959398,0.8333772781674906,0.8105086946126687,0.5615555956736726,0.18962390217275055,0.07910627375708187,0.04385611919564192,0.023662045182663082,0.015801898307921294
067A,geom,0.0911429151892662,11.317347526550293,0.6440726744279318,17.89460522709647,19.129125271217898,36.276202132691274,6.219369411468506,0.09208560059608648,0.09692382797221746,0.1301546367309341,0.197880337570879,0.17603090408658356,0.21147620269627537,0.15536337259603733,0.17096997500353184,0.16329192575876245,0.06775036725171303,0.038691269498357356,0.0240622614993239,0.013667163305395892,0.009453348318365178,0.003589337208284794
067B,geom,0.10379568487405777,15.907301902770996,0.8025359735309165,28.451573038432198,19.303688335186976,34.89705282054494,6.686288356781006,0.10443080902365348,0.11396219527705224,0.1561374378073176,0.2361607779572911,0.2196320056882683,0.2741438965757686,0.25533293366121834,0.2437050019262224,0.16778214004164124,0.09091467679734905,0.045713012705977205,0.02148789652818206,0.013070507536263763,0.008556481237668662,0.003846458960016519
068A,geom,0.6867658495903015,106.4704818725586,2.7866371961170056,627.9487670413714,7.403161321350842,21.33385817553745,9.293929100036621,0.6986693111746411,0.7951501450382757,0.9727482234595638,1.2601615884408097,1.2675433337746165,1.3087722167903548,1.485394118071979,1.0426559119937873,1.18507411046855,0.7886021031032565,0.21256543874497158,0.11118066383614306,0.10847642963227952,0.08996217679212727,0.06399777376892896
069A,geom,0.1031058058142662,24.004467010498047,0.4121749381063235,13.68312359344092,6.0317906440439,11.17693358732478,7.251668453216553,0.10333263968624289,0.10863489898805839,0.13874283753526107,0.14777477791517116,0.22421155790620012,0.2120060210877643,0.19704703520134179,0.15056495103122514,0.17763288805607355,0.07834007308072544,0.0323403745731399,0.0338834495788552,0.03491515652449885,0.029556150908887125,0.017178130976407045
070A,geom,0.12767280638217926,19.230388641357422,0.8807579280439161,52.047117768312994,14.39952918434806,19.50466054545358,6.944469451904297,0.12860357310742057,0.139243317309444,0.21714863724793787,0.30894510549607673,0.3613810693797886,0.3058471848691461,0.31872188962334475,0.2918053043070977,0.25192514063566074,0.12582941524221294,0.0676617795916065,0.03457982195681195,0.027459208536791326,0.01748550403237758,0.011963119487995715
077A,geom,0.03404254466295242,6.269277095794678,0.2675533956097318,3.4805142187338127,22.39069399523411,30.072814709822595,5.407564640045166,0.034141307811693014,0.034990758086082874,0.038355752051870154,0.05520707941066384,0.05179964074184886,0.08626030085542921,0.07881835771540979,0.06879234635812981,0.07144218248633806,0.04613598880849316,0.026377448762377565,0.012211272006702521,0.010577548461240757,0.007616895926871125,0.005150018369577778
078A,geom,0.7400329113006592,79.68517303466797,2.338618171617739,460.7194048338188,3.531816026123253,21.46275796367607,8.895631790161133,0.7490867909244073,0.9964281398936009,1.2235869278119502,1.2188131682373378,1.821729799726728,1.3293471754532262,1.229008052115867,1.3868623910612363,0.9156853946421458,0.29670885408861164,0.2395563409738771,0.1265114868927952,0.08562898620953208,0.03775360221113173,0.0206759082598244
080A,geom,0.7390469312667847,71.47024536132812,3.101400497447291,788.6838664939407,7.635215936300838,20.08943956307189,8.747325897216797,0.750091273378824,0.8628648965799693,1.4702143693587586,1.9160966934584591,1.8198407748730985,1.5100249967137498,1.3734753826387738,1.185249242844805,0.8195069839897238,0.3246433054113355,0.15095398532899773,0.09463484700697002,0.0863629313384289,0.09542759742211444,0.059858924304998215
083A,geom,0.01688300631940365,13.575689315795898,0.19187593511903797,1.6560807798185089,18.32920170060424,23.113485806297433,6.454115390777588,0.016924461371346858,0.017501781855378103,0.021298282405500975,0.029257748513749935,0.030169157560676133,0.03324548172557473,0.03910102927658867,0.04097808209091314,0.025345294211846527,0.01929305287834605,0.02108645883481075,0.026312227810370983,0.036216240035323775,0.03849898075276399,0.018693907799835936
084A,geom,0.05295376479625702,9.252710342407227,0.7802967882743626,15.60487625992654,38.29365854089444,83.86984193110753,5.943342208862305,0.05330122804650348,0.055467778733198886,0.07355873616079739,0.13615514037988738,0.14706648477093145,0.12233449308500849,0.10580672328188795,0.11789101261469488,0.1012613194027245,0.06325457639593196,0.027358777381728164,0.011202619081179234,0.011552640541257144,0.009317599936104344,0.004471237818303114
084D,geom,0.0482005812227726,8.278985977172852,0.6515535704440785,11.749669982258169,35.99765536909077,84.21479996388378,5.7903218269348145,0.04857204479342333,0.050915931061211964,0.07127745341120845,0.09492673349645692,0.13584231924452048,0.1183887764942479,0.12140956328569633,0.0966833865171834,0.09993022711309205,0.04394972275575844,0.024133629739346876,0.012643672454032874,0.013154149178114027,0.008969302965559513,0.004753973937209337
084E,geom,0.05611672252416611,7.5037617683410645,0.7246294220308923,14.186665823779892,36.23322289434365,82.9730452751837,5.655152797698975,0.05646595725491682,0.06057042047367247,0.06998409872947858,0.09872529647825179,0.10967227399227442,0.14080848055883358,0.15648033374246104,0.13850091303750642,0.09679506530374321,0.038621611313747334,0.03041621663496267,0.015192162300113877,0.013647362208795899,0.008905605472024812,0.004573998225926059
089A,geom,0.08931603282690048,11.478767395019531,1.0487183299772178,34.05263494189171,45.34906292378715,68.51978721594858,6.225037574768066,0.09006288773131987,0.09783798977856785,0.13517479213790953,0.194337115885983,0.18057684600636428,0.23789252386975546,0.188584107263902,0.16593307978810656,0.17413353031588033,0.055190029628873594,0.04001658388700237,0.01824185482784461,0.013790883074868273,0.009416915081329599,0.005783450894720769
